"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_RS05520",227.371535432189,-4.7787779347415,0.312343990503879,5.96013330705704e-54,2.6743118148765e-50
"ECB_RS19135",417.617782553978,-2.87583813344944,0.195698319396707,7.42784489849444e-50,1.66643700297723e-46
"ECB_RS05725",287.566023940228,-2.99989566922543,0.206523377815659,9.1549494220494e-49,1.36927526855785e-45
"ECB_RS05525",214.702454202142,-5.08718151217866,0.355216003801902,1.51535306839932e-47,1.69984730447694e-44
"ECB_RS05720",222.772618000151,-3.24447434137627,0.227722415568976,5.02651537579618e-47,4.51079489823949e-44
"ECB_RS05675",401.877833187214,-3.56762982463415,0.268500971529767,2.364075826855e-41,1.76793470584973e-38
"ECB_RS12290",169.103574923949,-2.77638234857761,0.212697709295535,7.63500861850489e-40,4.89404052446163e-37
"ECB_RS20365",265.070483349212,-2.04148203122157,0.163620222213819,2.20296847888065e-36,1.23558994559218e-33
"ECB_RS00910",886.710799701347,-2.59075579058182,0.212073026794273,3.20209497849305e-35,1.48902656018314e-32
"ECB_RS19120",409.976211988773,-3.24601157054307,0.266069249520055,3.31853478979973e-35,1.48902656018314e-32
"ECB_RS20320",38.3872573323872,2.83569529404992,0.234973163981291,1.69006793198329e-34,6.8939407370991e-32
"ECB_RS19130",360.455793805716,-3.25898584776017,0.274013506903994,1.35937729028232e-33,5.08293825124733e-31
"ECB_RS16455",171.242604273558,-3.05139091032795,0.257033972355815,1.79801092890493e-33,6.20590387538188e-31
"ECB_RS19125",1366.09111931626,-3.02782622492764,0.256733065889513,4.56249773153746e-33,1.46228052295776e-30
"ECB_RS16660",2897.2322957399,-3.05585048200994,0.260781176463764,1.10908732624218e-32,3.31764988856577e-30
"ECB_RS18980",691.313579686072,-2.6856001395754,0.229095928100994,1.2728045333863e-32,3.5694212133152e-30
"ECB_RS19115",640.428706518892,-2.79971467354481,0.240869027551092,3.98241995033163e-32,1.05112460689047e-29
"ECB_RS05730",437.643081131352,-2.45157734124661,0.212474285929378,1.28756753990503e-31,3.20961975086325e-29
"ECB_RS21650",1422.02592185319,-3.6857777785531,0.324438226036691,5.67889394871502e-31,1.34111563936233e-28
"ECB_RS00930",250.747352890197,-2.36553892064476,0.208148196169642,9.14085075670955e-31,2.05074986726779e-28
"ECB_RS22125",2080.72150608537,-5.78939383014532,0.523024043595731,1.12280730687219e-29,2.39906494568359e-27
"ECB_RS13180",792.352484221965,-3.08579437454908,0.281605310162517,7.17319386567757e-29,1.4630054943316e-26
"ECB_RS12980",289.663329607651,-2.31912497417668,0.211334704051848,8.26219639586052e-29,1.61184674905331e-26
"ECB_RS16100",90.8394573811102,-1.97349012309164,0.181137985966649,2.45734689851553e-28,4.594214805683e-26
"ECB_RS20525",1405.58425282224,-3.28144464905773,0.303753156331564,2.5599012988158e-28,4.59451085111459e-26
"ECB_RS03620",229.251846843457,-2.31078364726776,0.214264667309265,6.70611442929502e-28,1.15732059400949e-25
"ECB_RS06635",323.189489128537,-1.7631950282575,0.16379914403347,1.28964232262297e-27,2.1431944820775e-25
"ECB_RS16725",1454.77779518364,-2.561197662623,0.239359006683165,1.38282181813971e-27,2.21597196356889e-25
"ECB_RS04815",1303.67576761294,-2.64317087753192,0.247749728239107,1.50117570244714e-27,2.32268116444149e-25
"ECB_RS09780",375.619513862212,-2.8740321818803,0.270318192709098,2.58030461956159e-27,3.85927560932428e-25
"ECB_RS20115",1386.24884826275,-4.93741753523721,0.468384855730305,3.45535326877712e-27,5.00134519903321e-25
"ECB_RS04835",3497.8890633737,-2.84952053591487,0.272397520812436,1.54434993140741e-26,2.16546816944533e-24
"ECB_RS00920",436.983711244518,-1.56292056552649,0.148699283882315,2.26824214074419e-26,3.08412196530884e-24
"ECB_RS20505",1038.08554425048,-3.26575044663907,0.313899491924677,2.93471684946994e-26,3.87296308928577e-24
"ECB_RS05405",269.164127312753,-3.96736649949837,0.383391112984449,3.57271891882086e-26,4.58022565392835e-24
"ECB_RS12665",166.481202549092,-1.6608130072762,0.15910244315256,4.7742628139851e-26,5.95058812398643e-24
"ECB_RS21425",93.8027775377887,2.3834935849467,0.229946909216569,5.04541029969964e-26,6.1185827066898e-24
"ECB_RS04820",251.808411671983,-2.16279191069486,0.208291703342085,5.41588056673615e-26,6.39501476393292e-24
"ECB_RS06280",440.052866479101,-3.11387231054044,0.301827017414409,6.09820291518485e-26,7.01606063600882e-24
"ECB_RS20510",1801.8288542374,-2.95958143021645,0.28693705916231,6.87950404723093e-26,7.71708366498129e-24
"ECB_RS16710",1102.897442936,-2.97708619080443,0.289397767729828,8.8185538658926e-26,9.650939316161e-24
"ECB_RS05555",194.634605163111,-1.47708313280479,0.142557518860713,1.14837795661794e-25,1.22685045032016e-23
"ECB_RS16325",1753.51353755868,-3.18972912903557,0.310839856714056,1.20676420058113e-25,1.25924441116454e-23
"ECB_RS14890",99.0602519689571,-2.66484605615101,0.259539708902462,1.34791713145775e-25,1.3745691292843e-23
"ECB_RS15470",99.3005752116189,-2.60561529290593,0.253943156665898,1.4856948471089e-25,1.48140283977281e-23
"ECB_RS08595",121.078608541753,-2.38174816731586,0.231874157858782,1.52888836169823e-25,1.49133088672608e-23
"ECB_RS16420",245.237163296127,-2.72532576341692,0.267591139590335,3.26581414075205e-25,3.11781022330946e-23
"ECB_RS16460",680.199579940594,-2.37151167763185,0.233360160188358,4.51600356036975e-25,4.22152249487064e-23
"ECB_RS06285",165.343969758477,-2.71135562431296,0.267917992528473,5.71108076309416e-25,5.22971824163337e-23
"ECB_RS16655",871.2235078588,-3.19152967192397,0.317038943264692,7.53453132226868e-25,6.76148840860392e-23
"ECB_RS21655",620.59988663416,-3.88680882163385,0.389070170992441,1.09304196121679e-24,9.61662603917593e-23
"ECB_RS09525",439.231634991991,-3.16880526433307,0.31678740920057,1.52616926673669e-24,1.29459381741735e-22
"ECB_RS16715",759.667198778759,-3.19105093419479,0.319147322398324,1.52916140680008e-24,1.29459381741735e-22
"ECB_RS10915",78.3764074671452,2.60055879871289,0.259789757591205,1.74896864771053e-24,1.45326339301429e-22
"ECB_RS12865",1585.61522384865,-3.13733074939966,0.314252520505997,1.83976947991507e-24,1.5009173920689e-22
