"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ECB_RS09370",1637.98600032364,-6.24907009009318,0.265894273503069,3.65692340321304e-123,1.64086153102169e-119
"ECB_RS21750",241.671298779574,-4.77416652656498,0.218903795676882,2.73773111741642e-106,6.14209976192374e-103
"ECB_RS04680",2368.24487958433,-6.14401616837851,0.285482952318777,6.38424142964088e-104,9.5486970982662e-101
"ECB_RS08280",352.433557060466,-3.86029955378518,0.199864470302766,2.02182708633271e-84,2.26798453409372e-81
"ECB_RS02380",2884.81860684522,-6.01470964186921,0.311510199825858,3.77338557357349e-84,3.38623621372485e-81
"ECB_RS10510",644.57684047151,-5.85866821716913,0.308071389362867,6.52110053376618e-82,4.87669634916815e-79
"ECB_RS03085",1848.04543679279,-5.82845516905782,0.310739239049724,9.78076043962011e-80,6.26946744179649e-77
"ECB_RS09245",330.553310858601,-3.78962866808315,0.206213990516267,1.64763309924799e-76,9.24116214540718e-74
"ECB_RS02020",6234.47739893028,-5.22809697953496,0.286081766613806,1.0423199776525e-75,5.19654415525197e-73
"ECB_RS21590",524.679672775555,-5.97038725411281,0.328802944947388,8.98869972921076e-75,4.03322956849687e-72
"ECB_RS02655",2527.93568696973,6.63088385627029,0.368176899539182,1.24415566786343e-74,5.07502407427563e-72
"ECB_RS19325",2167.09449156744,5.90595192368596,0.331044466193473,3.60290083024129e-72,1.34718466877439e-69
"ECB_RS01740",248.327837483095,-4.84441305277546,0.289234053310148,2.85197734975958e-64,9.84370951413173e-62
"ECB_RS25575",2027.50534401075,-5.56438638489217,0.333239004842965,9.10823934621382e-64,2.91919071046153e-61
"ECB_RS03465",378.604037512922,5.97349143699919,0.363514925915508,1.36215821274951e-63,4.07466926707136e-61
"ECB_RS05615",3203.17686407897,-5.25027775101528,0.317647252459558,1.66257817893739e-62,4.66249268055755e-60
"ECB_RS21755",1250.36051633483,-3.96321627310398,0.242764691902863,6.15141878794254e-61,1.62361271185283e-58
"ECB_RS16020",2692.27570320424,5.35610911782076,0.33082317295708,6.69843749246456e-61,1.66977161270491e-58
"ECB_RS07420",263.422677308554,-5.44606329601658,0.344452517484211,4.60225121622895e-57,1.0868579582747e-54
"ECB_RS06180",4434.87352407689,-6.72810434597867,0.429059089911256,1.60526232819834e-56,3.60140603331297e-54
"ECB_RS00755",275.147218986756,-3.24421993414896,0.208337444816452,1.06093830331085e-55,2.26687150807418e-53
"ECB_RS17295",854.539445668526,-3.48917361704493,0.225478907990322,5.4241993622655e-55,1.10629011538569e-52
"ECB_RS18790",1271.42502852876,-4.20541338952927,0.274440200818414,7.27514925481181e-54,1.41928672636263e-51
"ECB_RS07675",463.105129379339,-4.28549050515335,0.284649496598367,2.88574120471298e-52,5.39513366064464e-50
"ECB_RS09060",365.890250949581,-5.25604748900809,0.350050373280779,7.48620318133657e-52,1.34362374698629e-49
"ECB_RS25475",569.121098201371,-5.77471430213525,0.386446394410265,1.19845484951524e-51,2.06825650375957e-49
"ECB_RS08350",377.442655367162,-3.4017354612483,0.227632797338443,1.63856388384945e-51,2.72305042475277e-49
"ECB_RS17005",49.9206715095852,-4.19128338204367,0.294123356087126,2.02640768914955e-47,3.24731832186215e-45
"ECB_RS15560",797.610143505065,-5.32638918658191,0.372688737455462,2.28305754957604e-47,3.53244111205093e-45
"ECB_RS09225",3077.54208122537,3.46355220699791,0.242774301545178,2.47973794896007e-47,3.70886139232795e-45
"ECB_RS18040",15880.4251122441,6.03873482443767,0.43494815666368,9.40590874897443e-46,1.36142943731123e-43
"ECB_RS01015",943.002296973634,3.93331774688284,0.283124596743793,3.69961324770957e-45,5.18755145077276e-43
"ECB_RS11930",653.882508960515,-4.95921719129475,0.356926279474919,5.86861107005835e-45,7.97953268828843e-43
"ECB_RS24045",2302.96667609522,-6.08731803557589,0.439212609681444,9.41799153173733e-45,1.24289788243839e-42
"ECB_RS10880",186.402329615091,-4.3850370131725,0.317066800601864,1.57453882839445e-44,2.01855877800169e-42
"ECB_RS22805",511.921330124414,-3.37701404749597,0.244671201343808,2.23954455595365e-44,2.79134345071223e-42
"ECB_RS03795",690.261768684244,3.79805281811974,0.2794171959573,1.18803001811574e-43,1.4407272138609e-41
"ECB_RS00870",2089.48280054709,4.54524470690858,0.336267372667791,8.62261504532148e-43,1.01814930811467e-40
"ECB_RS16770",1763.61930083786,4.77624813451927,0.35332283309682,1.6413459803032e-42,1.88838959323601e-40
"ECB_RS09755",284.396870513659,-2.84725704652778,0.211394797711106,2.52603515124143e-42,2.83357993090507e-40
"ECB_RS00875",1164.17714129425,5.28207940468322,0.395175041671388,3.58416917170248e-42,3.92247977400708e-40
"ECB_RS08345",139.446386879934,-2.78266891753719,0.206994984686831,4.35605869832015e-42,4.65372270937202e-40
"ECB_RS16735",1588.81272111497,3.68823561434917,0.277256748038647,7.38542784512955e-42,7.70660807932472e-40
"ECB_RS04045",196.039827007794,-4.34288445191959,0.325937743624692,1.4954132364206e-41,1.52498163450437e-39
"ECB_RS10900",332.680281684644,-5.83541408865023,0.43861647381848,1.69944354758606e-41,1.69453404400414e-39
"ECB_RS02030",1248.31808468674,3.4888746244634,0.263873873789202,5.36273405030735e-41,5.2309973225498e-39
"ECB_RS09420",486.404206377674,-4.32728884585815,0.327731732224698,6.7689893042935e-41,6.46222446986488e-39
"ECB_RS11910",237.386571952084,-2.84773179385568,0.217139888559121,2.53339633504295e-40,2.36819778236202e-38
"ECB_RS25485",422.55474800721,-4.92683903769121,0.378136242222238,6.87158356645698e-40,6.29240723728418e-38
"ECB_RS07915",85.127277748401,-4.29731827895712,0.329636236988825,9.47461393664457e-40,8.50251854674484e-38
"ECB_RS08530",74.6054529153056,-3.57816020573623,0.277176222724388,2.46052587462173e-39,2.16478031361327e-37
"ECB_RS07345",113.045374712242,-3.34493028063413,0.26050596886819,1.05839557628552e-38,9.13273259767907e-37
"ECB_RS25480",616.6367206243,-5.35720430795237,0.418950065413,1.39449756297602e-38,1.18058689907045e-36
"ECB_RS13040",18383.4927377074,6.32956954051564,0.498155592326064,2.63277227609001e-38,2.1876387412622e-36
"ECB_RS05310",609.549012874371,-5.06075717407433,0.397088441854462,3.00586534026532e-38,2.45223959668554e-36
"ECB_RS00400",349.201462623869,-3.79763371414331,0.29902168457083,5.93046516783012e-38,4.75178521572389e-36
"ECB_RS09055",113.200677844181,-4.06721045684386,0.320196252305802,7.38102802848361e-38,5.81029346733438e-36
"ECB_RS06270",8710.01964446109,-6.8157683392988,0.538627933883329,8.51103973102381e-38,6.58431642639721e-36
"ECB_RS14925",356.681052397095,5.5344089953362,0.436342975856781,1.11726737621753e-37,8.49691307981027e-36
"ECB_RS19835",270.430386296331,4.41598054603811,0.351698363628257,1.15053398161725e-37,8.604076625861e-36
"ECB_RS10195",470.121328837681,5.00008727788608,0.393897974784138,2.08576394774103e-37,1.53423325139574e-35
"ECB_RS25570",1076.55341568977,-5.05695966867489,0.405594897467192,7.76422291742498e-37,5.61904326298159e-35
"ECB_RS13175",499.550376800614,3.9833901593699,0.323738564058683,6.09801538967619e-36,4.34314207198048e-34
"ECB_RS16660",2897.2322957399,3.51198834492254,0.288232969313026,1.59040334214138e-35,1.11502184315443e-33
"ECB_RS20490",1916.27292971691,3.30854224472592,0.271177699377143,1.79249989441757e-35,1.23737646557718e-33
"ECB_RS17460",389.130993163788,-4.43586836848445,0.364492056626558,4.66154875244023e-35,3.16914685639384e-33
"ECB_RS16790",1373.94830075897,4.92203423022582,0.411682016454512,5.02112752783803e-35,3.36265659961332e-33
"ECB_RS09375",173.482848671052,-2.73483672761816,0.225141316469208,6.0172857645249e-35,3.97052370962106e-33
"ECB_RS16755",2570.72205497208,4.79301970470434,0.399257035330004,1.50823226237954e-34,9.80788139318408e-33
"ECB_RS18495",1946.83367685157,4.02484458655835,0.337193031950046,2.9044214415074e-34,1.86173414400624e-32
"ECB_RS14930",336.314272650409,4.93275447966954,0.413893741050308,9.02809452712439e-34,5.70550142862072e-32
"ECB_RS07360",404.714904298628,-3.68428393960683,0.309348352553745,9.29738317128315e-34,5.79407754021493e-32
"ECB_RS16880",3555.65961176227,3.2933923758285,0.278060254249565,1.4821582591248e-33,9.11019740916844e-32
"ECB_RS00130",1943.10757153904,4.38092483077018,0.373108420410062,2.95271372796942e-33,1.79038195910794e-31
"ECB_RS13780",213.914640733973,3.8764569974572,0.328915485616476,3.29191990783469e-33,1.9694459501939e-31
"ECB_RS02835",171.018178616157,-3.48523136453911,0.295080398870541,3.80185002515972e-33,2.24459224511732e-31
"ECB_RS08900",1709.18249461946,3.74007412163646,0.317193452604429,4.24913007631621e-33,2.47608398083517e-31
"ECB_RS13190",448.272460672167,4.08219311849834,0.350144545417539,5.00345436108282e-33,2.87826919463828e-31
"ECB_RS16725",1454.77779518364,3.14014008923038,0.269073773848051,1.03535389126257e-32,5.88054798746221e-31
"ECB_RS14570",1736.99097794059,3.27133797713157,0.280474109200406,1.22060895433853e-32,6.84609047264623e-31
"ECB_RS17435",460.35368737856,-5.12467212358731,0.442122739761941,3.63258181206889e-32,2.01227093713001e-30
"ECB_RS04725",706.528874679511,3.33111089010334,0.288302437653239,5.48819663426303e-32,3.00311442657783e-30
"ECB_RS02720",1945.20754524682,4.40227673894656,0.382286083089251,6.82945686707135e-32,3.69202083886134e-30
"ECB_RS16700",811.438587689379,3.86082010925816,0.33513637522348,6.96774161760665e-32,3.72193531407155e-30
"ECB_RS19100",936.936904852025,2.16560062861387,0.186846788991225,7.97250146672779e-32,4.20854283308325e-30
"ECB_RS16705",431.54524922583,4.34877142962747,0.377060567353865,1.24287374261589e-31,6.48462149199711e-30
"ECB_RS04175",2728.71706942565,-3.2386016819179,0.281943914185909,1.75383021313687e-31,9.04532892683347e-30
"ECB_RS13460",3677.81409250627,-3.01919276983115,0.262791821695066,1.83891756255896e-31,9.37638989000236e-30
"ECB_RS21400",639.708002926949,-6.12124468126213,0.536570166368297,3.01908673506068e-31,1.5220946269907e-29
"ECB_RS21585",107.855059774913,-4.72620352888887,0.413216633777676,3.36601485308349e-31,1.67814540508729e-29
"ECB_RS14290",502.323744164902,-4.12879799546605,0.363756320606948,6.31954740892316e-31,3.11602299163057e-29
"ECB_RS11685",617.756605360143,-4.32626243703597,0.381697737021448,7.5802821291802e-31,3.69703542539474e-29
"ECB_RS16785",1683.08419986402,4.58972867125219,0.406303105457131,9.72839011274066e-31,4.69368671353412e-29
"ECB_RS01140",788.880005408344,-4.98792425226343,0.441061814428293,1.01906343615099e-30,4.86440174256329e-29
"ECB_RS20840",446.516408326192,-3.66840627589403,0.327172607149435,3.35807162808046e-30,1.586070252126e-28
"ECB_RS16780",811.403783547786,4.50721961539034,0.397684630641056,6.00565106908038e-30,2.80195816235433e-28
"ECB_RS06215",111.260864651575,-4.72793433682584,0.423274135201854,6.05727527854625e-30,2.80195816235433e-28
"ECB_RS18490",422.596404181461,3.16359323945937,0.286764157193479,1.13552601772748e-29,5.19908698116655e-28
"ECB_RS03130",248.754053464722,2.57482744742289,0.229563719164765,1.7645762056296e-29,7.99762973197982e-28
"ECB_RS07315",157.226004099946,-2.3803609544864,0.214782179766011,1.9932466138905e-29,8.94369755652668e-28
"ECB_RS01005",120.036865180804,-3.05404693751524,0.277106965945335,3.44361781295202e-29,1.52985278482334e-27
"ECB_RS05315",736.904784312962,-4.08147207672962,0.372572723547911,5.04954718927449e-29,2.22130570963477e-27
"ECB_RS18980",691.313579686072,3.03820161517379,0.276377771975774,6.11864642032701e-29,2.66547247456381e-27
"ECB_RS08695",532.614461297084,-4.92339460054628,0.453106533488502,1.34654216568153e-28,5.80955259366638e-27
"ECB_RS16730",611.701488266108,3.36168735295336,0.31121763587909,1.81219882121478e-28,7.74412962932448e-27
"ECB_RS16325",1753.51353755868,3.81226766681721,0.352134905850584,2.11718067845115e-28,8.94015783510504e-27
"ECB_RS16675",1385.11050198615,3.15083052898113,0.291484346763354,2.1319297712419e-28,8.94015783510504e-27
"ECB_RS05760",808.631057687633,4.19662215569344,0.392944945129996,2.78318364994787e-28,1.15630972567742e-26
"ECB_RS18965",764.133035987522,4.04803026697892,0.376576280442914,3.17358042017079e-28,1.30640874727581e-26
"ECB_RS23795",116.847839098903,-3.71747214622422,0.344919386732243,3.22343205439724e-28,1.3148672389164e-26
"ECB_RS05120",90.5299539686377,-2.97768830203519,0.275596122173009,3.51202738444234e-28,1.41968170035971e-26
"ECB_RS06430",109.238996611498,-2.32778713466777,0.21526665401517,4.72466387724663e-28,1.89281846582193e-26
"ECB_RS05815",589.407530643876,-3.88101065866289,0.360793838039895,5.10763643924559e-28,2.02813846928274e-26
"ECB_RS10070",160.356474586039,-2.40175767508049,0.222593842132879,5.17534301739156e-28,2.03699685254701e-26
"ECB_RS19135",417.617782553978,2.90566667275706,0.269577165851499,6.70213427327741e-28,2.61499795514746e-26
"ECB_RS20515",2370.15391864578,3.26733370085902,0.305912150704516,7.26701934824714e-28,2.81095825996422e-26
"ECB_RS12785",172.709865464544,-3.65717939328527,0.340892912256671,8.0253367987588e-28,3.07775095863511e-26
"ECB_RS20505",1038.08554425048,4.10622525336682,0.380368788991694,8.38143062853958e-28,3.18707451103874e-26
"ECB_RS09300",151.923988212727,2.22263133099513,0.205726739335954,9.90701366022024e-28,3.73552691541245e-26
"ECB_RS09990",256.525928319997,5.09161314802418,0.473725558873875,1.4696629932989e-27,5.49531487577681e-26
"ECB_RS01505",1760.05090908859,-5.09392456513442,0.478930960309353,1.63113679723385e-27,6.04868661916387e-26
"ECB_RS18295",442.722679930983,-3.82760748941988,0.359794611689892,2.04140732932138e-27,7.50802843169266e-26
"ECB_RS20510",1801.8288542374,3.35206424155376,0.318067458276267,4.92596365282796e-27,1.78974688408782e-25
"ECB_RS02155",908.223453067934,-3.3658183006783,0.31877707994852,4.94603551653421e-27,1.78974688408782e-25
"ECB_RS16670",560.633518426054,3.64055957957292,0.346396836740212,5.0504495152357e-27,1.81290935798901e-25
"ECB_RS12825",81.009587523601,-3.89813884310681,0.370477619925516,7.9722667709364e-27,2.83901277787235e-25
"ECB_RS15080",138.449487543402,-3.31425207649924,0.315846378523337,1.13590271771181e-26,4.0132247987188e-25
"ECB_RS06695",188.879325182055,-4.12439225423761,0.396769803243968,2.32781066089619e-26,8.16006752768845e-25
"ECB_RS21870",111.104569263884,2.8032123266514,0.268850655518827,3.30494089225377e-26,1.14955579717385e-24
"ECB_RS14620",115.21287423678,-2.27375710208537,0.219344701334975,5.07927106163463e-26,1.75312994258112e-24
"ECB_RS05125",1452.69993095265,-6.26927554588125,0.613256881863126,1.16307725009169e-25,3.98376154287132e-24
"ECB_RS05415",2570.75744283535,-5.29878245781011,0.517961322724794,1.21587681886939e-25,4.12015589263277e-24
"ECB_RS04700",850.711062414965,4.09463541705318,0.40123610252264,1.22126305709864e-25,4.12015589263277e-24
"ECB_RS18500",313.563057873781,2.24047813347863,0.217901311174846,1.389564714361e-25,4.65296781592373e-24
"ECB_RS02000",824.977406083857,2.86904239613337,0.281094755034379,2.0157693314591e-25,6.69981999278295e-24
"ECB_RS14140",127.300560562,2.80830880086559,0.272898467727116,3.42610380162474e-25,1.13036233513898e-23
"ECB_RS03760",84.6060356062465,-2.76165411735728,0.272853450313221,4.99538348795589e-25,1.63607924893855e-23
"ECB_RS25535",51.5448575406567,-2.6798630037094,0.265388948302965,5.03433282235223e-25,1.63688778071699e-23
"ECB_RS13310",70.1210494889967,-2.55458318397366,0.253116771075399,5.67181223872493e-25,1.83089363418408e-23
"ECB_RS07305",396.722013266238,-3.77471463033081,0.37431304363335,6.09591655222841e-25,1.9537412549892e-23
"ECB_RS23480",64.811797047261,-2.97892180966261,0.296989667014613,9.1464861109094e-25,2.91065838153549e-23
"ECB_RS09045",99.1747297760435,-3.33061922598444,0.331680541508513,1.28625469129888e-24,4.06438366187187e-23
"ECB_RS23545",45.100841774259,-2.71396176527168,0.270727130279827,1.5589564605306e-24,4.89163471216839e-23
"ECB_RS08540",44.2648499558652,-2.71395981054381,0.271742470423055,1.67532253077917e-24,5.22025846917092e-23
"ECB_RS11990",71.3299914511389,3.2129799647619,0.319907789436288,1.90206833703781e-24,5.88591767468184e-23
"ECB_RS16710",1102.897442936,3.29211316775979,0.334658680030775,2.34685587316515e-24,7.21256322115892e-23
"ECB_RS16775",884.165212972665,4.81401753562943,0.486994048115638,4.43471504337369e-24,1.35364397276311e-22
"ECB_RS05860",140.214236231285,2.38059889807146,0.237430658991058,5.6000345123104e-24,1.69779424707681e-22
"ECB_RS17905",74.6079490498309,-3.38727317196623,0.344626794683376,7.83342866644122e-24,2.35896606888066e-22
"ECB_RS19125",1366.09111931626,2.81236950162397,0.287679451755394,1.506503620131e-23,4.5064544956852e-22
"ECB_RS21650",1422.02592185319,3.69816647344707,0.37953249686949,1.7844756366122e-23,5.30261071621122e-22
"ECB_RS16715",759.667198778759,3.79395605371632,0.391592233557418,2.82230609001816e-23,8.3313733065207e-22
"ECB_RS18315",122.808987504607,2.52667326777051,0.258933332616833,3.87378617247777e-23,1.13605742195475e-21
