"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"82","NONMEVIPP-PWY",0.0488505747126437,0.100781816299058,0.352171384439073,-0.667533060196572,-1.61009500035766,5,"ECB_RS06285,ECB_RS12685,ECB_RS01930,ECB_RS00160"
"83","NONOXIPENT-PWY",0.367469879518072,0.46492045530187,0.122679189568808,-0.371291799541187,-1.0342421924705,7,"ECB_RS14615,ECB_RS00045,ECB_RS17130,ECB_RS14515"
"84","OANTIGEN-PWY-1",0.0488505747126437,0.100781816299058,0.352171384439073,-0.667583172944735,-1.61021587270105,5,"ECB_RS19395,ECB_RS19400,ECB_RS19105,ECB_RS10315,ECB_RS10320"
"85","ORNARGDEG-PWY",0.224913494809689,0.304881656804734,0.173747838999571,-0.341285557385656,-1.20971468958559,13,"ECB_RS06780,ECB_RS06800,ECB_RS14630,ECB_RS06805,ECB_RS06795,ECB_RS14625,ECB_RS06785"
"86","ORNDEG-PWY",0.232294617563739,0.312914514247625,0.153158808683073,-0.441776999183478,-1.16007527314182,6,"ECB_RS06780,ECB_RS06800,ECB_RS06795,ECB_RS06785"
"87","P2-PWY",0.614617940199336,0.700236359729591,0.0596037042575973,0.494585678088042,0.906503107431852,3,"ECB_RS03030,ECB_RS03035,ECB_RS03055"
"88","P4-PWY",3.40183990798824e-05,0.000599247183791775,0.557332238758646,-0.62978100736519,-2.46440229734948,17,"ECB_RS19625,ECB_RS17375,ECB_RS00010,ECB_RS00020,ECB_RS00015,ECB_RS04920,ECB_RS20690,ECB_RS12495,ECB_RS12455,ECB_RS00855,ECB_RS20285,ECB_RS20715,ECB_RS15225,ECB_RS19505,ECB_RS14205,ECB_RS16990"
"89","PANTO-PWY",0.105,0.174239130434783,0.219250346703755,-0.688579256192689,-1.3755455174554,3,"ECB_RS00690,ECB_RS00695"
"90","PANTOSYN-PWY",0.0481586402266289,0.100781816299058,0.352171384439073,-0.645489548954896,-1.69501007566726,6,"ECB_RS00690,ECB_RS00695,ECB_RS18505,ECB_RS00540,ECB_RS18480,ECB_RS20460"
"91","PENTOSE-P-PWY",0.0778816199376947,0.13719146896717,0.287857117255149,-0.479118640110395,-1.49592030786248,9,"ECB_RS14615,ECB_RS10245,ECB_RS09640,ECB_RS00045,ECB_RS17130,ECB_RS14515"
"92","PEPTIDOGLYCANSYN-PWY",0.0144164341251629,0.0412670426832788,0.380730400722792,-0.485280645431049,-1.72011710617494,13,"ECB_RS00455,ECB_RS16140,ECB_RS00450,ECB_RS03145,ECB_RS20425,ECB_RS00480,ECB_RS00775,ECB_RS01720,ECB_RS00465,ECB_RS00485,ECB_RS16235,ECB_RS20450"
"93","PHESYN",0.00879698325974708,0.0312259378509014,0.380730400722792,-0.784437723398405,-1.89206996903463,5,"ECB_RS04920,ECB_RS19305,ECB_RS13140,ECB_RS13145,ECB_RS20885"
"94","PHOSLIPSYN-PWY",0.387301587301587,0.484656084656085,0.122679189568808,-0.362343767018258,-1.05738290651692,8,"ECB_RS20820,ECB_RS18355,ECB_RS13075,ECB_RS15275,ECB_RS05535,ECB_RS01920"
"95","PLPSAL-PWY",0.1525,0.222436305732484,0.179782316298324,-0.656499038197307,-1.31146022928315,3,"ECB_RS08480,ECB_RS12225,ECB_RS08490"
"96","POLYAMSYN-PWY",0.641566265060241,0.723737313787168,0.0878312634480124,-0.298211829436039,-0.830676186971251,7,"ECB_RS00630,ECB_RS14630,ECB_RS14625,ECB_RS00955,ECB_RS21215,ECB_RS21300,ECB_RS03425"
"97","POLYISOPRENSYN-PWY",0.0293044694733733,0.0721583173054032,0.352487857583619,-0.812585875240451,-1.62326827040196,3,"ECB_RS00895,ECB_RS01935,ECB_RS16130"
