"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1CMET2-PWY",0.000214553192545371,0.00168066667493874,0.518848077743792,-0.697184103646488,-2.24768138188192,13,"ECB_RS12865,ECB_RS14140,ECB_RS14470,ECB_RS14465,ECB_RS02490,ECB_RS00605,ECB_RS06415,ECB_RS14475,ECB_RS20690"
"2","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0.0729166666666667,0.160144080996885,0.219250346703755,0.558120805369128,1.45942860813233,8,"ECB_RS22500,ECB_RS22535,ECB_RS22515,ECB_RS22540,ECB_RS22520,ECB_RS13285,ECB_RS22525,ECB_RS22530"
"3","4AMINOBUTMETAB-PWY",0.961678832116788,0.97833127942617,0.0432768714901103,0.271922639509363,0.552810795657102,4,"ECB_RS13290,ECB_RS13285,ECB_RS07845"
"4","ACETATEUTIL-PWY",0.732838589981447,0.828691545238902,0.0565299525056311,0.362893847609656,0.794271681005779,5,"ECB_RS20965,ECB_RS12380"
"5","ACETOACETATE-DEG-PWY",0.0921052631578947,0.180372347071738,0.20207170902116,0.746112600536193,1.35735774058174,3,"ECB_RS11325,ECB_RS11320,ECB_RS11335"
"6","ALADEG-PWY",0.661654135338346,0.785296574770259,0.0619762736001998,0.48102985204975,0.875108653387428,3,"ECB_RS06185,ECB_RS06190"
"7","ALANINE-VALINESYN-PWY",0.196035242290749,0.302505864179873,0.14641623786055,-0.614114980605498,-1.26500756641974,4,"ECB_RS19305,ECB_RS18130,ECB_RS20880"
"8","ALL-CHORISMATE-PWY",4.31244105502883e-07,1.68903941321963e-05,0.674962860011025,-0.562086379763922,-2.55712669305212,42,"ECB_RS10975,ECB_RS13140,ECB_RS04920,ECB_RS03770,ECB_RS11860,ECB_RS06555,ECB_RS02925,ECB_RS06550,ECB_RS17145,ECB_RS08735,ECB_RS19305,ECB_RS04820,ECB_RS13150,ECB_RS06570,ECB_RS06565,ECB_RS01760,ECB_RS13145,ECB_RS08770,ECB_RS20885,ECB_RS08835,ECB_RS11770,ECB_RS17150,ECB_RS00735,ECB_RS09710,ECB_RS06560"
"9","AMMASSIM-PWY",3.06656750564164e-05,0.000360321681912892,0.557332238758646,-0.975603217158177,-1.81920442286198,3,"ECB_RS16260,ECB_RS19900,ECB_RS16255"
"10","ANARESP1-PWY",0.0405405405405405,0.104692604692605,0.294066672318865,0.427072274733173,1.52038127772265,23,"ECB_RS01520,ECB_RS21410,ECB_RS21415,ECB_RS13595,ECB_RS13605,ECB_RS21420,ECB_RS08345,ECB_RS08350,ECB_RS13600,ECB_RS21425,ECB_RS06660,ECB_RS13585,ECB_RS13580,ECB_RS13590"
